curr_time	id	question	score
310663	21590	q14_2	0.285714286
567286	21590	q15_5	1
861568	21590	q16_8	1
1632509	21590	q17_17	0.8
2321236	21590	q18_3	0.4
2537252	21590	q19_6	1
4069	29696	q14_8	0.25
4806	29696	q15_7	0.346153846
7436	29696	q16_8	0.875
1020764	34926	q14_14	0.5
2626514	34926	q15_6	1
3231286	34926	q16_8	1
4125043	34926	q17_6	1
5185849	34926	q18_6	1
5901329	34926	q19_5	1
3437	45091	q14_0	0
8148	45091	q15_7	0.153846154
10297	45091	q16_13	0
13604	45091	q17_3	0
23256	45091	q18_6	0
27344	45091	q19_6	0
409182	56496	q14_6	0.666666667
1246674	56496	q15_12	0.8
1542233	56496	q16_3	1
3146967	56496	q17_4	1
4463235	56496	q18_6	0.6
4474309	56496	q19_5	0
4489002	56496	q14_6	0.666666667
4493593	56496	q15_12	0.8
4498514	56496	q16_3	1
4500871	56496	q17_4	1
4505871	56496	q18_6	0.6
4635530	56496	q19_5	0.444444444
4652938	56496	q18_6	0.6
4864526	56496	q19_5	0.655555556
